Qty,Booking Agent,Receipt,Loading Port,Vessel/Voyage,Vessel Name,Pack,Teus,Container,Booking Reference,BL Number,Next POD,Discharge Port,Delivery,Discharge Instructions,Gross Wgt,Bkg Pty Name,Quote Ref/US SVC,Decider Fullname,Hazardous,Reefer Flag,OOG Flag,Original Reference,Transhipment Port,Current,Verified Gross Mass
3,ZSN,CNGON,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,TCKU6206160,ZSN0292541,ZSN0292541,ESVLC,GPPTP,,,13900,INNOVATIVE TRADE LINKS LIMITED,QHOF063023,TTOM,N,N,N,KITTY,ESVLC,CNNSA,14921.46,
3,ZSN,CNGON,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,ECMU9538653,ZSN0292541,ZSN0292541,ESVLC,GPPTP,,,13900,INNOVATIVE TRADE LINKS LIMITED,QHOF063023,TTOM,N,N,N,KITTY,ESVLC,CNNSA,14529.45,
3,ZSN,CNGON,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,TEMU6560543,ZSN0292541,ZSN0292541,ESVLC,GPPTP,,,13900,INNOVATIVE TRADE LINKS LIMITED,QHOF063023,TTOM,N,N,N,KITTY,ESVLC,CNNSA,15041.46,
2,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,TCLU1514424,ZSN0292910,,MTMLA,ITNAP,,ITTFG,8900,MAINFREIGHT INTL LOG SHG CO LTD GZ,QGEN057234,MAINFREIGHT ITALY SRL,N,N,N,KITTY,MTMLA,CNNSA,14516.56,
2,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,FSCU8605738,ZSN0292910,,MTMLA,ITNAP,,ITTFG,8900,MAINFREIGHT INTL LOG SHG CO LTD GZ,QGEN057234,MAINFREIGHT ITALY SRL,N,N,N,KITTY,MTMLA,CNNSA,14776.94,
2,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40ST,2,APZU4721030,ZSN0292911,,MTMLA,ITNAP,,ITTFG,8700,MAINFREIGHT INTL LOG SHG CO LTD GZ,QGEN057234,MAINFREIGHT ITALY SRL,N,N,N,KITTY,MTMLA,CNNSA,11882.74,
2,ZSN,CNZUH,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40ST,2,APZU4855385,ZSN0292911,,MTMLA,ITNAP,,ITTFG,8700,MAINFREIGHT INTL LOG SHG CO LTD GZ,QGEN057234,MAINFREIGHT ITALY SRL,N,N,N,KITTY,MTMLA,CNNSA,11490.4,
1,ZSN,CNZSN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0293698,,ESVLC,ESVLC,,,18900,KUEHNE + NAGEL LTD,IF001-MBW-13-013,KUEHNE + NAGEL INTERNATIONAL AG,N,N,N,KITTY,,CNNSA,,
1,ZSN,CNJMN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,CMAU5379864,ZSN0293880,ZSN0293880,ESVLC,MQFDF,,,15900,SHANGHAI SUPREME INTERNATIONAL,QMRG012629,AGENCE MARITIME MARTIN,N,N,N,KITTY,CNNSA,CNNSA,11400,
1,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,CMAU5856484,ZSN0294316,,MTMLA,MEBAR,,,11900,KUEHNE + NAGEL LTD,QGEN057465,CANDY HOOVER GROUP SRL,N,N,N,KITTY,MTMLA,CNNSA,10196,
1,ZSN,CNZSN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,TCKU9501597,ZSN0294397,,MTMLA,LYMRA,,,13900,NINGBO CHIAOFENG SHIPPING LTD,FL4891-NFX-10-004,NORTH AFRICA SHIPPING,N,N,N,EUNICE,MTMLA,CNNSA,,
1,ZSN,CNGON,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,20ST,1,TEMU2588115,ZSN0294835,ZSN0294835,ESVLC,ESVLC,,,20230,ALSACARGO LOGISTICS (SHANGHAI) CO,QIVL018154,ALSACARGO LOGISTICS SL,N,N,N,KITTY 30-APR,CNNSA,CNNSA,4880,
2,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,TCNU2063174,ZSN0294914,,MTMLA,LYKHO,,,13900,GZ EVER STAR INT LOG CO LTD,QZSN005286,GZ EVER STAR INT LOG CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
